Ticket id,Interaction id,Ticket Summary,Interaction content,Type 1,Type 2,Type 3,Type 4
23555,65977,[AppGallery]Problemas e sugestões,"Description I don't understand the DNS never working ', can you help me ???Contact information ***** (Phone).- xxxxx@xxxx.com ",AppGallery ,Problem/Fault,General,Cannot connect - Server
23534,65883,[AppGallery]Probleme und Vorschläge,Description Komit cannot be installed.Contact information xxxxxx@xxxx.com sent by my Huawei phone,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Unknown
23477,65661,Re: support.pt 自动回复: [AppGallery]Problems and suggestions,"HUAWI HEALTH ON MON, 5 sept ***** (Phone), 1:40 PM, wrote: Hi, we appreciate your contact!Our support representatives will check your message and get back to you as soon as possible.We Appreciate Your Patience and Cooperation.Sincerely, Aspiegel ",AppGallery ,Others,Unknown,Unknown
23452,65616,[AppGallery]Problemas e sugestões,Description Can't Install Contact Information 962 225 736 Sent from My Huawei Cell Phone. Description You can not install contact information 962 225 736 .,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23429,65569,[AppGallery]Problemas e sugestões,Description Does Not Install Contact Information xxxxx@xxxx.,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23395,65482,[AppGallery]Problemi e soluzioni,Description in The Are Are I (***** (Loc)) There is no Connection (3 Fastweb Devices) And We have Difficulties with Calls.No Connection to the Internet.Contact Information ***** (Phone) - ***** (Phone) - ***** (Phone) Sent from My Huawei Tabletdescription in the area in which I find myself (***** (loc)) notThere is connection (3 Fastweb devices) and we have difficulties with calls.No internet connection.Contact information ***** (Phone) - ***** (Phone) - ***** (Phone) sent by my Huawei tablet,AppGallery ,Others,Unknown,Unknown
23230,65024,[AppGallery]Проблеми и предложения,Description What's Up Contact Info ***** (Phone) Sent from My Phone Huawei recordings What's Up Information ***** (Phone) ,AppGallery ,Others,Unknown,Unknown
23229,65022,[AppGallery]Проблеми и предложения,Description What's Up Contact Information ***** (Phone) ,AppGallery ,Others,Unknown,Unknown
23212,64982,[AppGallery]Проблеми и предложения,OK Description What's Up Information Contact ***** (Phone) ,AppGallery ,Others,Unknown,Unknown
23194,64946,[AppGallery]Problemer og forslag,Description Installation Error Contact Information ***** (Phone),AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23193,64944,[AppGallery]Problemer og forslag,Description Installation Error Contact Information +***** (Phone) ***** (Per),AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23189,64938,[AppGallery]Проблеми и предложения,Description I beg you to drive them.Contact information xxxxx@xxxx.com,AppGallery ,Suggestion,General,Personal data
23188,64936,[AppGallery]Проблеми и предложения,Description W. Contact Information XXXXX@XXXX.com,AppGallery ,Suggestion,General,Personal data
23056,64550,[AppGallery]Problems and suggestions,"Description My phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. I wish to report that everything used here is still not private. As we speak, I'm scared and frustrated about this issue. Contact information xxxxx@xxxx.com",AppGallery ,Suggestion,General,Personal data
23055,64549,[AppGallery]Problemy i sugestie,Description inability to install contact information xxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23054,64548,[AppGallery]Problemy i sugestie,Description No Installation Passible Contact Information xxxxx@xxxx.comis Inability to install contact information xxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23052,64544,[AppGallery]Sorunlar ve öneriler,Description does not load.Contact Information 0 543 375 79 90,AppGallery ,Problem/Fault,General,AppGallery not loading
23050,64542,Re: RE : OD: Full refund from first day,"Hello, I already sent to them e-mail twice with reminder two weeks ago, but they never replied. They fixed bug after I was impacted, and they want to shut it down to be silence as we see. I kindly asking to make a refund because of this situation. Thank You for Your support to making it possible. Kind regards, Client From: xxxxx@xxxx.com Sent: Wednesday, August 10, *****(PHONE) 2:30 PM To: xxxxx@xxxx.com Subject: RE : OD: Full refund from first day Dear customer, We appreciate you patience, our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund, you can provide that proof to us. You should be able to contact the Customer support of the game on: https://aihelp.net/privacypolicy/ or Customer Service: xxxxx@xxxx.com. If you have further game issue, you also can directly contact our dedicated game operation staff through discord channel. Here is the discord link (Poland): https://discord.gg/tkYZC5CAGu that serves your country. We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Ramon Aspiegel ",AppGallery ,Problem/Fault,Third Party APPs,Refund
23049,64540,[AppGallery]Problémy a odporúčania,Description Failed to Install Update Mi Vydeoplayer Contact Information XXXXXXIXIGE.commag Failure to install an update me vydeoplayer contact information xxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
23047,64532,Ynt: RE : Ynt: RE : Unreceived Huawei Points,"It is ok, I don't request anything. You may close the ticket. Thanks *****(PERSON): xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 19:09 Kime: xxxxx@xxxx.com Konu: RE : Ynt: RE : Unreceived *****(PERSON) Dear user, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about your Campaign Cashback 15%. To create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. We recommend you to use our discord channel. We recommend you contact us via discord channel : https://discord.gg/tkYZC5CAGu from your computer desktop directly. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei id 2. Your service country AppGallery> Me> Settings> Country 2. The name of the game app 3. The name of the campaign you participated in 4. Outline how many HUAWEI Points/Coupon/Prize you were meant to receive 5. Your discord account contact information if applicable If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23046,64531,Aspiegel Support issue submit,PRODUCT: Appgallery & Games Requets: OTER REQUESTS CONTACT FULL NAME: MIGUEL LOSADA SEOANE PHONE NUMBER: +***** (PHONE) CONTACT EMAIL ADDRESS: xxxxxx@xxxxx.com HUAWEI ID ACCOUNT: xxxxxx@xxxx.com Summary of The Issue: They sent me a Huawei Scale because I won a raffle but after more than a week I did not receive it and I do not know who I have to get in touch ... Greetings Home |News |Events |Products |Partners |Support Copyright Aspiegel,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23044,64525,[AppGallery]Problemas y sugerencias,Description I have the bale cell and it does not let me uninstall anything at all contact information exxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery
23029,64464,Re: RE : Refund request,I did and all they did 3 days soft ban which is ridiculous ),AppGallery ,Problem/Fault,Third Party APPs,Refund
23025,64447,Ynt: RE : Unreceived Huawei Points,"Hello again Here is the information you requested : 1. My Huawei ID : xxxxx@xxxx.com 2. Your service country : Turkey 2. The name of the game app : World Of Tanks Blitz 3. The name of the campaign you participated in : App Gallery Game Festival Campaign (15% Cashback) 4. How many HUAWEI Points/Coupon I was meant to receive : About 9 TL 5. My discord account contact information : Icebreaker #*****(PHONE) Gönderen: xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 16:53 Kime: xxxxx@xxxx.com Konu: RE : Unreceived *****(PERSON) Dear customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about World Of Tanks Blitz cashback. To build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. We recommend you to use our discord channel. Please go to Huawei App Gallery>Campaign>Click any valid campaign on the list> find discord icon in the page > Click the link and Join. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei ID. 2. Your service country AppGallery> Me> Settings> Country. 2. The name of the game app. 3. The name of the campaign you participated in. 4. Outline how many HUAWEI Points/Coupon you were meant to receive. 5. Your discord account contact information if applicable. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. Therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. Sincerely, *****(PERSON). *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23025,64468,RE : Ynt: RE : Unreceived Huawei Points,"Dear user, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about your Campaign Cashback 15%. To create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. We recommend you to use our discord channel. We recommend you contact us via discord channel : https://discord.gg/tkYZC5CAGu from your computer desktop directly. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei id 2. Your service country AppGallery> Me> Settings> Country 2. The name of the game app 3. The name of the campaign you participated in 4. Outline how many HUAWEI Points/Coupon/Prize you were meant to receive 5. Your discord account contact information if applicable If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23024,64446,[AppGallery]Questions et suggestions,DESCRIPTION PB connection to wifi and mobile data.Contact information xxxxx@xxxx.com sent from my mobile Huawei,AppGallery ,Suggestion,AppGallery-Use,Others
23024,64465,RE : [AppGallery]Questions et suggestions,"Dear customer, thank you for contacting Aspiegel.We hope you are well.This email is about your concern about your problem with Appgallery.In order to be able to deepen the survey, please provide us with the following elements: 1. A description of the problem 2. A screenshot or a video recording of error 3.When the problem occurred 4. Your Huawei identifier: App Gallery> HMS Core> Open then make a screenshot.5. The model of your phone 6. The SN number of your device 7. App Gallery version: Huawei App Gallery> Me> About 8. Version of HMS Core: Huawei App Gallery> HMS Core> Open> Settings>of 9. Application concerned 10. Version of the application concerned 11. The newspaper of App Gallery thank you for your cooperation.For other questions, do not hesitate to answer this discussion and we will be happy to guide you through your doubts.Sincerely, ***** (PER) of aspiegel customer assistance to aspiegel is uma empresa constituída segundo as leis da Irlanda, com sede em ***** (loc), Irlanda.Aspiegel is o proven of Huawei Mobile Services Para Huawei e Honor Proprietários de Payroll Na Europa, Canada, Austrália, Nova Zelândia e Outros Países.From: xxxxx@xxxx.com smells: thursday 01 September ***** (phone) 17:23 to: xxxxx@xxxx.com Subject: [appgallery] Questions and suggestions Description PB connection to WiFi and mobile data.Contact information xxxxx@xxxx.com sent from my mobile Huawei",AppGallery ,Suggestion,AppGallery-Use,Others
23021,64426,[AppGallery]Problems and suggestionsї[AppGallery]Проблеми та пропозиції,Description Unable to install app contact information ixxxxxx@xxxxx.com sent from my Huawei phone,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23017,64414,Re: RE : Refund request,"That is very unfortunate because I've been contacting PayPal and Huawei for the past few months and never gotten and reply until I found out this email. I did report it to the game developer but they decided to only soft ban those people for 3 days and let them keep whatever they gotten for illegal third party recharge, which makes the game environment unfair for us paying the full price using legit recharge platform. )",AppGallery ,Problem/Fault,Third Party APPs,Refund
23017,64443,RE : Refund request,"Dear customer, We apologize for the inconvenience. We advise you to contact the developers for your refund request. Thank you for your understanding. Sincerely, Alexandru *****(PERSON) ",AppGallery ,Problem/Fault,Third Party APPs,Refund
23012,64379,[AppGallery]Problems and suggestions,Description Haiii buba Contact information BEYEKEITAxxxxx@xxxx.com ,AppGallery ,Others,Unknown,Unknown
23012,64388,Informations,"Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. In order to give you the best solution, could you please clarify your request with following information: A description of the issue A screenshot or record video of error When issue happened Your Huawei Id: App Gallery>HMS core>Open then take a screenshot Your phone model SN number of your device App Gallery Version: Huawei App Gallery>Me> About HMS Core Version: Huawei App Gallery>HMS core>Open> Settings> About Related app Related app version The Log of App Gallery If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. With kind regards, Marian *****(PERSON) ",AppGallery ,Others,Unknown,Unknown
23007,64360,Unreceived Huawei Points,Hello I have recently made an in-game purchase (World Of Tanks Blitz) but haven't received 15% Huawei Points because of that purchase. My Huawei account has the the same e-mail with this one. Please transfer the relevant amount of Huawei points into my account. Best Regards,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23007,64396,RE : Unreceived Huawei Points,"Dear customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about World Of Tanks Blitz cashback. To build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. We recommend you to use our discord channel. Please go to Huawei App Gallery>Campaign>Click any valid campaign on the list> find discord icon in the page > Click the link and Join. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei ID. 2. Your service country AppGallery> Me> Settings> Country. 2. The name of the game app. 3. The name of the campaign you participated in. 4. Outline how many HUAWEI Points/Coupon you were meant to receive. 5. Your discord account contact information if applicable. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. Therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. Sincerely, *****(PERSON). *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23003,64352,[AppGallery]Probleme și sugestii,Description does not go to install stumble Guys information contact xxxxx@xxxx.com sent from my Huawei phone,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23003,64386,RE : [AppGallery]Probleme și sugestii,"Dear Customer, thank you for contacting Aspiegel.We hope you feel good.To give you the best solution, please specify your request with the following information: 1. A Description of the problem 2. A screenshot or a video record of the error 3. The time the problem appeared 4. IDYour Huawei: App Gallery> HMS Core> open and then make a screenshot 5. your phone model 6. SN number of your device 7. App Gallery: Huawei App Gallery> Me> About (About) 8. HMS versionCore: Huawei App Gallery> HMS Core> Open> Settings> About.9. Lone app 10. Version of the corresponding application 11. The application gallery journal if you have any additional questions please answer this email and we will be happy to help you.With great consideration, Andrea Aspiegel ",AppGallery ,Suggestion,AppGallery-Use,Others
23002,64348,Aspiegel Support issue submit,"Product: In-App Purchase Requests: View, change or cancel subscriptions Contact Full Name: Lukas Pur Phone Number: *****(PHONE) Contact Email Address: Lxxxxx@xxxx.com Summary of the issue: Hello I have problem with music player app JetAudio+ I bought the app long time ago from Play store. Long before *****(PERSON) Id was a thing and after last phone update i am reqired to buy it again via *****(PERSON) Id Home | News | Events | Products | Partners | Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
23002,64355,RE : JetAudio+,"Dear *****(PERSON), Thank you for contacting *****(PERSON). We hope you're doing well. This email is regarding your concern about buying the JetAudio+ app from the PlayStore, and after the update you are required to purchase it again via *****(PERSON)wei ID. Don't worry I perfectly understand your request and will be happy to assist you further with the best solution. In order for us to investigate this issue further , would you be so kind to send us the following details : Model : Go to Settings>About phone>model When did the problem : occur date & time *****(PERSON)wei ID : Email address or phone number used to register HUAWEI ID *****(PERSON)wei ID register country/region : Go to Settings>HUAWEI ID>Settings>Country Screenshot/video of the issue Build number : Go to Settings>About phone >Build number HMS version : Go to Settings>About phone >Build number SN (Serial Number of phone) : Go to Settings>About phone>Status>Serial number For further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Cristiana *****(PERSON) ",AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
22994,64318,[AppGallery]Problems and suggestions,Description No instrol Contact information *****(PHONE) ,AppGallery ,Suggestion,General,Others
22994,64321,RE : [AppGallery]Problems and suggestions,"Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. In order to give you the best solution, could you please clarify your request with following information: A description of the issue A screenshot or record video of error When issue happened Your Huawei Id: App Gallery>HMS core>Open then take a screenshot Your phone model SN number of your device App Gallery Version: Huawei App Gallery>Me> About HMS Core Version: Huawei App Gallery>HMS core>Open> Settings> About Related app Related app version The Log of App Gallery If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Alexandra *****(PERSON) ",AppGallery ,Others,Unknown,Unknown
22983,64260,[AppGallery]Probleme și sugestii,Description No Contact Information Information ***** (Phone) sent from my Huawei phone,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
22983,64268,RE : [AppGallery]Probleme și sugestii,"Dear Customer, thank you for contacting Aspiegel.We hope you feel good.This email is in relation to your request on the Appgallery issue.To be able to investigate it further, please provide us with the following: 1. A problem description 2. A screenshot or a video recording of the error 3. The moment the problem was produced 4. Your Huawei ID: AppGallery> HMS Core> Open then make a screenshot 5. your phone model 6. SN number of your device 7. App Gallery: Huawei App Gallery> Me> About 8. HMS Core Version: Huawei App Gallery> HMSCore> Open> Settings> About 9. Suggested AppFor additional questions, please do not hesitate to answer this message and we will be happy to help you clarify your concerns.Sincerely, Stela team of customer assistance team A Aspiegel Se é uma Empress constituted Segundo as Leis da Ireland, com Sede Em Dublin, Ireland.Aspiegel is a provider of Huawei Mobile Services Para Huawei is Honor Property of Dispositivos na Europe, Canadá, Austlalia, Nova Zelăndia is outs países.From: xxxxx@xxxx.com Sent: Thursday 01 September *** (Phone) 11:41 to: xxxxx@xxxx.com SUBJECT: [Appgallery] Problems and Suggestions Description No Contact Information ***** (Phone) sent from my Huawei phone",AppGallery ,Others,Unknown,Unknown
22982,64259,Problems and suggestions متجر التطبيقات]المشاكل والاقتراحات,Details transfer issued.Information Information ***** (Phone),AppGallery ,Others,Unknown,Unknown
22980,64253,Aspiegel Support issue submit,"Product: Other Products Requests: Requests Contact Full Name: Aust Horst Phone Number: +***** (Phone) Contact Email Address: xxxxx@xxxx.com Summary of the issue: German I have at Gamescom Hall 7 Appgaliere,The Watch GT3 won the luck.I have not received any further documents that this is officially in my possession. Where do I get the home |News |Events |Products |Partners |Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
22980,64265,GT3,"Dear Mr. ***** (per), we recommend that you contact the Discord Canal https://discord.gg/dacxqnc4qf directly from your computer.If you have difficulties in using Discord or prefer that we will edit the case, please give us the following information for further examinations: 1. Your Huawei-ID 2. Your service country Appgallery> Settings> Land 2. The nameThe game app 3. The name of the campaign in which you have participated 4. indicate how many Huawei points/vouchers/bonuses you should receive 5. Your discord contact information, if you have any further questions, answerPlease on this email thread and we will be happy to help you with your doubts.Sincerely, ***** (Per) Customer Service The Aspiegel SE is a society under Irish law based in ***** (LOC), ***** (LOC).Aspiegel SE is the provider of Huawei Mobile Services for Huawei and Honor device owners in ***** (LOC), ***** (LOC), ***** (LOC), ***** (LOC) and other countries.From: xxxxxx@xxxx.com Sent: thursday 01 September ***** (Phone) 11:35 to: xxxxxx@xxxx.com Subject: Aspiegel support issue Submit Product: Other Products Requests: Requests Contact Full Name: Aust Horst PhoneNumber: +***** (Phone) Contact Email Address: xxxxxx@xxxx.com Summary of the Issue: German Please I won the Watch GT3 at Gamescom Hall 7.I have not received any further documents that this is officially in my possession. Where do I get the home |News |Events |Products |Partners |Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
22980,64271,Re: GT3,"I'm sorry I don't have Discord and I won't use it either.I come from ***** (LOC) use the Mate 10 Pro.The Huawei id: xxxxx@xxxx.com I have no app that is to be mentioned.The action ran on August 25th in Hall 7 ,, Appgalerie ,, from 14:00 at Gamescom. (See Photos) My question again: Where do I get the written (expression via email) confirmation that the watch GT3 is mineProperty was here.In this regard, there was nothing to the hand at gamescom.MFG ***** (per) apikosstr.6 ***** (Phone) Meckenheim ***** (LOC) wrote on Thursday, September 1st ***** (Phone), 11:55: Dear Mr. ***** (per), we recommend that you contact the Discord Canal https://discord.gg/dacxqnc4qf directly from your computer.If you have difficulties in using Discord or prefer that we will edit the case, please give us the following information for further examinations: 1. Your Huawei-ID 2. Your service country Appgallery> Settings> Land 2. The nameThe game app 3. The name of the campaign in which you have participated 4. indicate how many Huawei points/vouchers/bonuses you should receive 5. Your discord contact information, if you have any further questions, answerPlease on this email thread and we will be happy to help you with your doubts.Sincerely, ***** (Per) Customer Service The Aspiegel SE is a society under Irish law based in ***** (LOC), ***** (LOC).Aspiegel SE is the provider of Huawei Mobile Services for Huawei and Honor device owners in ***** (LOC), ***** (LOC), ***** (LOC), ***** (LOC) and other countries.From: xxxxxx@xxxx.com Sent: thursday 01 September ***** (Phone) 11:35 to: xxxxxx@xxxx.com Subject: Aspiegel support issue Submit Product: Other Products Requests: Requests Contact Full Name: Aust Horst PhoneNumber: +***** (Phone) Contact Email Address: xxxxxx@xxxx.com Summary of the Issue: German Please I won the Watch GT3 at Gamescom Hall 7.I have not received any further documents that this is officially in my possession. Where do I get the home |News |Events |Products |Partners |Support Copyright Aspiegel SE ***** (Phone)",AppGallery ,Others,Unknown,Unknown
22980,64280,RE : GT3,"Dear Mr. ***** (per), thank you for providing the requested information.I thank you for your patience in this long process and I apologize that you still have to wait a bit.We very much appreciate your cooperation.I will check your problem with our specialized team and inform you about possible changes as soon as possible.With friendly greeting, ***** (per) customer service The Aspiegel SE is a society under Irish law based in ***** (LOC), ***** (LOC).Aspiegel SE is the provider of Huawei Mobile Services for Huawei and Honor device owners in ***** (LOC), ***** (LOC), ***** (LOC), ***** (LOC) and other countries.From: xxxxxx@xxxx.com Sent: Thursday 01 September ***** (Phone) 12:11 to: xxxxx@xxxx.com Subject: Re: GT3 I am not sorry Discord and I will not use it either.I come from ***** (LOC) use the Mate 10 Pro.The Huawei id: xxxxx@xxxx.com I have no app that is to be mentioned.The action ran on August 25th in Hall 7 ,, Appgalerie ,, from 14:00 at Gamescom. (See Photos) My question again: Where do I get the written (expression via email) confirmation that the watch GT3 is mineProperty was here.In this regard, there was nothing to the hand at gamescom.MfG ***** (per) Aust aprikosenstr.6 ***** (Phone) Meckenheim ***** (loc) <xxxxxx@xxxx.com> wrote on Thursday, Sept. 1, Sept. *****(Phone), 11:55: Dear Mr. ***** (per), we recommend that you contact the Discord Canal https://discord.gg/dacxqnc4qf directly from your computer.If you have difficulties in using Discord or prefer that we will edit the case, please give us the following information for further examinations: 1. Your Huawei-ID 2. Your service country Appgallery> Settings> Land 2. The nameThe game app 3. The name of the campaign in which you have participated 4. indicate how many Huawei points/vouchers/bonuses you should receive 5. Your discord contact information, if you have any further questions, answerPlease on this email thread and we will be happy to help you with your doubts.Sincerely, ***** (Per) Customer Service The Aspiegel SE is a society under Irish law based in ***** (LOC), ***** (LOC).Aspiegel SE is the provider of Huawei Mobile Services for Huawei and Honor device owners in ***** (LOC), ***** (LOC), ***** (LOC), ***** (LOC) and other countries.From: xxxxxx@xxxx.com Sent: thursday 01 September ***** (Phone) 11:35 to: xxxxxx@xxxx.com Subject: Aspiegel support issue Submit Product: Other Products Requests: Requests Contact Full Name: Aust Horst PhoneNumber: +***** (Phone) Contact Email Address: xxxxxx@xxxx.com Summary of the Issue: German Please I won the Watch GT3 at Gamescom Hall 7.I have not received any further documents that this is officially in my possession. Where do I get the home |News |Events |Products |Partners |Support Copyright Aspiegel SE ***** (Phone)",AppGallery ,Others,Unknown,Unknown
